Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
For Audi VW  Delphi Air Conditioning Compressor 5N0820803 Repair Plate Fix Kit,29.99,222208394116,444 sold,X8R,X8R0082,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.990000000000293&_udhi=30.040000000000294&_sop=2&_ipg=200
Air Conditioning A/C Delphi Compressor 5N0820803 For Seat Skoda VW Repair Kit,29.99,232378514061,"1,260 sold",X8R,X8R0082,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.990000000000293&_udhi=30.040000000000294&_sop=2&_ipg=200
VW T5 T5.1 T6 Transporter Extra Cab Door Seal Upgrade + Dash Trim Seal Gap Kit,29.99,233043755636,542 sold,X8R LTD,X8R0161-X8R0167,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.990000000000293&_udhi=30.040000000000294&_sop=2&_ipg=200
For BMW X3 X5 X6 Gear Box Transfer Case Servo Actuator Motor Repair Gear Kit,29.95,221576643880,"1,404 sold",X8R LTD,X8R0033,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.940000000000293&_udhi=29.990000000000293&_sop=2&_ipg=200
4X 22MM FOR BMW DIESEL SWIRL FLAP BLANKS REPAIR WITH INTAKE MANIFOLD GASKETS,29.99,321926064860,875 sold,X8R,X8R0066-X8R0015,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.990000000000293&_udhi=30.040000000000294&_sop=2&_ipg=200
4X 33MM FOR BMW DIESEL SWIRL FLAP BLANKS REPAIR WITH INTAKE MANIFOLD GASKETS,29.99,231759539435,260 sold,X8R,X8R0066-X8R0016,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.990000000000293&_udhi=30.040000000000294&_sop=2&_ipg=200
4X 33MM FOR BMW DIESEL SWIRL FLAP BLANKS REPAIR WITH INTAKE MANIFOLD GASKETS,29.99,231759539435,260 sold,X8R,X8R0066-X8R0016,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.940000000000293&_udhi=29.990000000000293&_sop=2&_ipg=200
Air Conditioning A/C Delphi Compressor 5N0820803 For Seat Skoda VW Repair Kit,29.99,232378514061,"1,260 sold",X8R,X8R0082,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.940000000000293&_udhi=29.990000000000293&_sop=2&_ipg=200
VW T5 T5.1 T6 Transporter Extra Cab Door Seal Upgrade + Dash Trim Seal Gap Kit,29.99,233043755636,542 sold,X8R LTD,X8R0161-X8R0167,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.940000000000293&_udhi=29.990000000000293&_sop=2&_ipg=200
For Audi VW  Delphi Air Conditioning Compressor 5N0820803 Repair Plate Fix Kit,29.99,222208394116,444 sold,X8R,X8R0082,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=29.940000000000293&_udhi=29.990000000000293&_sop=2&_ipg=200
