Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
AUDI A6 MK3 / R8 / R8 SPYDER 2004-2015 HEATER BLOWER RESISTOR 4F0820521,37.50,132864488357,2 sold,BaHuHa,BE1-3159,"4F0820521, 4F0820521A",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=37.65&_udhi=37.699999999999996&_sop=2&_ipg=200
WINDOW REGULATOR-  FOR MAZDA M5 CONVERTIBLE 2004-17 REAR RIGHT SIDE C235-72-590B,31.90,142997485500,N/A,BaHuHa,BE1-2928,C235-72-590B,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.05000000000032&_udhi=32.100000000000314&_sop=2&_ipg=200
Front Wheel Bearing Hub & ABS Sensor For Vauxhall Astra H MK5 2004-2014 5 Stud,37.45,142730839910,14 sold,BaHuHa,BE1-2039,"16 03 841, 93188477, 01603841, 1603841, 093188477",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=37.6&_udhi=37.65&_sop=2&_ipg=200
FIAT PANDA MK2 2006-ON REAR SHOCK ABSORBER,31.90,143610315428,N/A,BaHuHa,BE21-668,"0050707568, 1540225, 1672372",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.05000000000032&_udhi=32.100000000000314&_sop=2&_ipg=200
VW PASSAT B5 SKODA SUPERB FRONT LEFT PASSENGER SIDE WINDOW REGULATOR WITH PANEL,31.90,141930617829,390 sold,BaHuHa,BE1-660,N/A,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.05000000000032&_udhi=32.100000000000314&_sop=2&_ipg=200
WINDOW REGULATOR- FOR LAND ROVER DISCOVERY MK2 1995-04 FRONT RIGHT DRIVER SIDE,31.90,132855665330,5 sold,BaHuHa,BE1-3062,"LR006373, STC2882, CUH102300",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.05000000000032&_udhi=32.100000000000314&_sop=2&_ipg=200
FORD KA 2008>ON REAR SHOCK ABSORBER SHOCKER,31.90,133415514674,4 sold,BaHuHa,BE21-667,"0050707568, 1540225, 1672372",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.05000000000032&_udhi=32.100000000000314&_sop=2&_ipg=200
VW Golf Mk5 2.0 2004>2008 Automatic / Manual Radiator *Brand New*,39.75,143881359843,2 sold,BaHuHa,BE21-2016,"1K0121251AL, 1K0121251BL, 1K0121251DP, 3C0121253K, 3C0121253R",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=39.89999999999987&_udhi=39.94999999999987&_sop=2&_ipg=200
"VW Caddy Mk3, EOS, Jetta Mk3, Touran 2003>2010 Automatic / Manual Radiator",39.75,143881355343,2 sold,BaHuHa,BE21-2015,"1K0121251AL, 1K0121251BL, 1K0121251DP, 3C0121253K, 3C0121253R",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=39.89999999999987&_udhi=39.94999999999987&_sop=2&_ipg=200
Renault Clio MK2 MK3 2001-On 1.2 1.4 1.5 1.6 2.0 Front Windscreen Wiper Motor,45.99,142123779213,243 sold,BaHuHa,BE1-1085,"7701061590, 7701051590, 53567502, 8200268931, 579738, 8200268131, 54523631",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=46.19999999999951&_udhi=46.24999999999951&_sop=2&_ipg=200
Vauxhall Astra H / Zafira B 2004-2014 1.3 1.7 1.9 2.0 Diesel Manual Radiator,45.99,132358865100,107 sold,BaHuHa,BE1-1719,"13152320, 01300271, 1300271, 1300 269, 13143570, 13128925, 63029A, OLA2383",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=46.19999999999951&_udhi=46.24999999999951&_sop=2&_ipg=200
Brand New Radiator Subaru Impreza Bugeye 2.0 Turbo WRX 2000- 2002 Manual Cars,45.99,132120748723,30 sold,BaHuHa,BE1-1367,"45111FE000, 45119FE000, SU2057, SUA2057, 53823, 735446, 64116",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=46.19999999999951&_udhi=46.24999999999951&_sop=2&_ipg=200
Renault Clio MK3 2005-On 1.2 1.4 1.5 1.6 2.0 Front Windscreen Wiper Motor 579738,45.99,133422093512,6 sold,BaHuHa,BE21-694,"7701061590, 7701051590, 53567502, 8200268931, 579738, 8200268131, 54523631",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=46.19999999999951&_udhi=46.24999999999951&_sop=2&_ipg=200
"Lancia Delta Mk3 1.4, 1.6, 1.8,  2.0 2008>2014 Manual Radiator *Brand New*",45.90,132427656333,N/A,BaHuHa,BE1-1811,"55700617, 0051808364, 0055703927, 0055704135, 0055700617, 0051896964, 55704135, 51808364, 51896964, FT2312, FTA2312, 53454, 61916, 8MK376754-461, 8MK376754-464, 235041, 735041, 11075, 70850",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=46.09999999999952&_udhi=46.149999999999515&_sop=2&_ipg=200
RENAULT MEGANE MK2 SCENIC MK2 1.4 1.6 2.0 PETROL IN TANK FUEL PUMP & SENDER UNIT,48.00,143468886057,6 sold,BaHuHa,BE21-184,"8200689362, 8200130191",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=48.249999999999396&_udhi=48.29999999999939&_sop=2&_ipg=200
x2 REAR WHEEL BEARING& NUT& HUB FIT FOR A HONDA CIVIC MK6 1.4 1.6 00-05 *NEW*,51.30,132330138195,2 sold,BaHuHa,BE1-1507,42200-S5A-008,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=51.54999999999921&_udhi=51.599999999999206&_sop=2&_ipg=200
EGR VALVE FOR VAUXHALL CORSA D ASTRA H COMBO 1.3 CDTI 2005>ONWARDS 55192348,49.60,141895452972,60 sold,BaHuHa,BE1-465,"55192348, 55195196, 55204941",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=49.849999999999305&_udhi=49.8999999999993&_sop=2&_ipg=200
Vw Touareg 2003-2010 Front Electric Window Regulator Driver Side W/O Motor New,48.90,141965712522,90 sold,BaHuHa,BE1-713,"7L0837462A, 7L0837462D",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=49.09999999999935&_udhi=49.149999999999345&_sop=2&_ipg=200
WINDOW REGULATOR-  FOR PEUGEOT 307 CC CONVERTIBLE 2009-14 FRONT LEFT SIDE 9221W0,48.89,132807094728,6 sold,BaHuHa,BE1-2498,9221W0,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=49.09999999999935&_udhi=49.149999999999345&_sop=2&_ipg=200
Fuel Pump Module Assembly Land Rover Discovery 1 1993-1998 4.0 V8 Petrol ESR3926,48.90,143142167444,5 sold,BaHuHa,BE1-3552,ESR3926,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=49.09999999999935&_udhi=49.149999999999345&_sop=2&_ipg=200
VW TOUAREG PORSCHE CAYENNE WINDOW REGULATOR FRONT RIGHT DRIVER SIDE 2002-2010,48.90,131787285254,232 sold,BaHuHa,BE1-712,"7L0837462A, 7L0837462D",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=49.09999999999935&_udhi=49.149999999999345&_sop=2&_ipg=200
FRONT WHEEL HUB FOR FORD MONDEO MK3 1.8 2.0 2.2 2.5 3.0 ST220 2000-2007,48.90,132957564825,40 sold,BaHuHa,BE1-3529,"4103347, 1S7W1104AA",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=49.09999999999935&_udhi=49.149999999999345&_sop=2&_ipg=200
Front Anti Roll Bar Drop Links Pair For Vauxhall Astra H MK5 2004-2014 X2,51.89,143909179946,N/A,BaHuHa,BE21-2116,"13169439, 13219141, 13258052, 90498745, 13327928, 00350176, 00350611, 00350614, 00350617, 00350618, 0350611, 0350614, 0350617, 0350618, 350176, 350611, 350614, 350617, 350618",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=52.149999999999174&_udhi=52.19999999999917&_sop=2&_ipg=200
Front Anti Roll Bar Drop Links Pair For Chevrolet Malibu Orlando 2011-Onwards X2,51.89,143909189625,N/A,BaHuHa,BE21-2122,"13169439, 13219141, 13258052, 90498745, 13327928, 00350176, 00350611, 00350614, 00350617, 00350618, 0350611, 0350614, 0350617, 0350618, 350176, 350611, 350614, 350617, 350618",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=52.149999999999174&_udhi=52.19999999999917&_sop=2&_ipg=200
